I-ONE Agent,AI 员工
Stalwart server is not properly configured. Please check your Mail Settings.,Stalwart 服务器配置不正确。请检查您的邮件设置。
Stalwart service not found in deployment {0},在部署 {0} 中未找到 Stalwart 服务
Stalwart Version,Stalwart 版本
Stalwart {0} request failed,Stalwart {0} 请求失败
Standard,标准
standard,标准
"Standard 5-field cron, e.g. '0 9 * * 5' for every Friday 09:00.",标准 5 字段 cron 表达式，例如 '0 9 * * 5' 表示每周五 09:00。
Standard Category,标准类别
Standard Category Snapshot,标准类别快照
Standard Clause,标准条款
Standard Clause Hash Snapshot,标准条款哈希快照
Standard Clause Snapshot,标准条款快照
Standard Code,标准代码
Standard Code Snapshot,标准代码快照
Standard Display,标准显示
Standard DocType can not be deleted.,标准 DocType 无法删除。
"Standard DocType cannot have default print format, use Customize Form",标准 DocType 不能有默认打印格式，请使用自定义表单
Standard folders cannot be deleted. Please enable developer mode to delete standard folders.,标准文件夹无法删除。请启用开发者模式以删除标准文件夹。
Standard folders cannot be modified. Please enable developer mode to edit standard folders.,标准文件夹无法修改。请启用开发者模式以编辑标准文件夹。
Standard Letter Head can be updated in Developer Mode only.,标准信头仅在开发者模式下可更新。
Standard Name,标准名称
Standard Name Snapshot,标准名称快照
Standard Not Set,标准未设置
Standard Permissions,标准权限
Standard Print Format cannot be updated,标准打印格式无法更新
Standard Print Style cannot be changed. Please duplicate to edit.,标准打印样式无法更改。请复制后编辑。
Standard Report,标准报表
Standard Reports cannot be deleted,标准报表无法删除
Standard Reports cannot be edited,标准报表无法编辑
Standard rich text editor with controls,带有控件的标准富文本编辑器
Standard roles cannot be disabled,标准角色无法禁用
Standard roles cannot be renamed,标准角色无法重命名
Standard Sidebar Menu,标准侧边栏菜单
Standard Snapshot,标准快照
Standard System,标准系统
Standard user type {0} can not be deleted.,标准用户类型 {0} 无法删除。
Standard Version,标准版本
Standard Version Checksum Snapshot,标准版本校验和快照
Standard Version Snapshot,标准版本快照
Standard Views cannot be deleted.,标准视图无法删除。
"Standard Web Forms can not be modified, duplicate the Web Form instead.",标准 Web 表单无法修改，请复制 Web 表单。
Standardization,标准化
Standardization Candidate,标准化候选
Standardization Conclusion,标准化结论
Standardization Decision,标准化决策
Standardization Evidence Hash,标准化证据哈希
Standardization Evidence Reference,标准化证据引用
Standardized At,标准化时间
Standardized By,标准化人员
Star,星标
Star Mail,星标邮件
Starred,已加星标
Starred Mails,星标邮件
Start (ASC),升序 (ASC)
Start (DESC),降序 (DESC)
Start a new discussion,开始新讨论
Start Cloning,开始克隆
Start Date Field,开始日期字段
Start entering data below this line,从该行下方开始输入数据
Start Finding Rectification,开始整改
Start From,从...开始
Start Import,开始导入
Start importing rows from this datetime onward (used on first sync only),从该日期时间开始导入行（仅首次同步时使用）
Start of the next month,下个月初
Start Recording,开始录制
Start Rectification Work,开始整改工作
Start Test,开始测试
Start time is required for non-draft events.,非草稿事件需要开始时间。
started,已启动
Started After (Seconds),开始后（秒）
Started At - Creation,开始时间 - 创建时间
Started At - Queued At,开始时间 - 排队时间
Started By,开始人
Started On,开始日期
Starting clone...,正在启动克隆...
Starting export to {0} format.,正在导出到 {0} 格式。
Starting Frappe ...,正在启动 Frappe ...
Starting from the default layout instead.,改为使用默认布局。
Starting import from the uploaded {0} file.,正在从上传的 {0} 文件开始导入。
starting the setup...,正在启动设置...
Starting...,正在启动...
Starts on,开始于
State,状态
State (JSON),状态 (JSON)
State Properties,状态属性
States,状态
Static absolute path ending in '/'. The app percent-encodes the source record identifier as exactly one path segment.,以 '/' 结尾的静态绝对路径。应用会将源记录标识符进行百分号编码，作为恰好一个路径段。
Static Parameters,静态参数
Statistics — {0},统计 — {0}
Stats,统计
Stats Time Interval,统计时间间隔
Status Change,状态变更
Status Order,状态订单
Status Updated. The email will be picked up in the next scheduled run.,状态已更新。邮件将在下一次计划运行中被拾取。
Status/Percentage,状态/百分比
Status: {0},状态：{0}
Step,步骤
Steps,步骤
steps completed,步骤已完成
Steps to verify your login,验证登录的步骤
Sticky,固定
Stochastic,随机
Stop,停止
Stopped,已停止
Stopped At,停止于
Storage,存储
Storage Account,存储账户
Storage Usage (MB),存储用量 (MB)
Storage Usage By Table,按表统计存储用量
Store,商店
Store Attached PDF Document,存储附加的 PDF 文档
Store Entry,存储条目
Store Entry is read-only.,存储条目为只读。
Store entry {0} not found.,未找到存储条目 {0}。
Store the API secret securely. It won't be displayed again.,请安全地存储 API 密钥。它将不再显示。
Stored,已存储
Stored byte size,已存储字节大小
Stored secrets are never shown. Leave a field blank to keep its current value.,已存储的密钥永远不会显示。留空字段以保持其当前值。
Stores the datetime when the last reset password key was generated.,存储生成上次重置密码密钥的日期时间。
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,存储各种已安装应用的最后已知版本的 JSON。用于显示发行说明。
Straight rows of keys are easy to guess,直行的密钥易于猜测
Street,街道
Strength:,强度：
Strikethrough,删除线
String,字符串
"string value, i.e. group",字符串值，例如 group
"string value, i.e. member",字符串值，例如 member
"string value, i.e. {0} or uid={0},ou=users,dc=example,dc=com","字符串值，例如 {0} 或 uid={0},ou=users,dc=example,dc=com"
Strip EXIF tags from uploaded images,从上传的图像中剥离 EXIF 标签
Stripe Settings,Stripe 设置
Strong,强
Structure,结构
Structured Deidentified Content,结构化去标识内容
Student enrolled successfully,学生注册成功
Student is already enrolled in this course.,该学生已注册此课程。
Student View,学生视图
Style,样式
Style Preset,样式预设
Style preset saved,样式预设已保存
Style Public URL,样式公共 URL
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",样式代表按钮颜色：成功 - 绿色，危险 - 红色，反色 - 黑色，主要 - 深蓝色，信息 - 浅蓝色，警告 - 橙色
Style Settings,样式设置
Stylesheet,样式表
"Sub-currency. For e.g. ""Cent""","辅币。例如 ""分"""
Sub-domain provided by erpnext.com,由 erpnext.com 提供的子域名
Sub-sheet name,子工作表名称
Subaddressing is not allowed in the email address.,电子邮件地址中不允许使用子地址。
Subject Contains,主题包含
Subject Field,主题字段
"Subject Field type should be Data, Text, Long Text, Small Text, Text Editor",主题字段类型应为数据、文本、长文本、短文本、文本编辑器
Subject Key,主题键
Submenus,子菜单
Submission Hash,提交哈希
Submission Queue,提交队列
Submissions,提交
submit,提交
Submit action evidence,提交行动证据
Submit After Import,导入后提交
Submit an Issue,提交问题
Submit Appeal,提交申诉
Submit button label,提交按钮标签
Submit Coder Review,提交代码员审查
Submit Complete Evidence,提交完整证据
Submit Expert Review,提交专家审查
Submit Finding Appeal,提交发现申诉
Submit Finding for Department Approval,提交发现以供部门审批
Submit for Independent Review,提交以供独立审查
Submit for QC Review,提交以供 QC 审查
Submit for Review,提交以供审查
Submit for verification,提交以供验证
Submit Indicator for Review,提交指标以供审查
Submit on Creation,创建时提交
Submit Rectification,提交更正
Submit Rectification for Department Approval,提交更正以供部门审批
Submit Request,提交请求
Submit Rule for Expert Review,提交规则以供专家审查
Submit Standard for Review,提交标准以供审查
Submit this document to complete this step.,提交此文档以完成此步骤。
Submit this document to confirm,提交此文档以确认
Submit Verification,提交验证
Submitted,已提交
Submitted After (Seconds),提交后（秒）
Submitted At,提交时间
Submitted At - Creation,提交时间 - 创建时间
Submitted By,提交人
Submitted document cannot be converted back to draft while transitioning from <b>{0} State</b> to <b>{1} State</b>,从 <b>{0} 状态</b> 转换到 <b>{1} 状态</b> 时，已提交的文档无法转换回草稿
Submitted Document cannot be converted back to draft. Transition row {0},已提交的文档无法转换回草稿。转换行 {0}
Submitted for Verification At,提交验证时间
Submitted for Verification By,提交验证人
submitted this document,已提交此文档
submitting,提交中
Submitting governed emergency exception…,正在提交受管紧急例外…
Submitting {0},正在提交 {0}
Submitting...,正在提交…
Subscribed,已订阅
Subscription ID,订阅 ID
Subsidiary,子公司
Subsidy Adjustment Account,补贴调整账户
Subsidy Adjustments,补贴调整
"Substring matched against a candidate URL/anchor to prioritise crawling it (e.g. ""about"", ""team"", ""contact"").","与候选 URL/锚点匹配的字符串，用于优先爬取该链接（例如 ""about"", ""team"", ""contact""）。"
"Substring; a candidate URL containing it is skipped during the crawl (e.g. ""/blog/"", "".pdf"", ""?"").","子字符串；包含该子字符串的候选 URL 将在爬取期间被跳过（例如 ""/blog/"", "".pdf"", ""?"")."
Substrings that exclude a candidate link from the crawl.,从爬取中排除候选链接的子字符串。
